Saami {prop} (Saami language)	 :: Samisk språk
Sabbath {prop} (Biblical seventh day)	 :: [Bokmål] sabbat {m}; [Nynorsk] sabbat {m}
Sabbath {prop} (Sunday)	 :: [Bokmål] søndag {m}; [Nynorsk] sundag {m}, søndag {m}
Sabbath {prop} (witches' Sabbath)	 :: [Bokmål] heksesabbat {m}; [Nynorsk] heksesabbat {m}
sabbatical {n} (extended period of leave)	 :: sabbatsår {n}
saber {n} (sabre) SEE: sabre	 ::
saber-toothed tiger {n} (sabre-toothed tiger) SEE: sabre-toothed tiger	 ::
sabotage {n}	 :: sabotasje
sabre {n} (light sword, sharp along the front edge, part of the back edge, and at the point)	 :: sabel {m}
sabre {n} (modern fencing sword modeled after the sabre)	 :: sabel {m}
sabre-toothed tiger {n} (prehistoric cat)	 :: sabeltanntiger {m}, sabeltannkatt {m}
sac fungus {n} (fungus of the phylum Ascomycota) SEE: ascomycete	 ::
sack {n} (bag for commodities or items)	 :: [Bokmål] sekk {m}, pose {m}; [Nynorsk] sekk {m}, pose {m}
sack {n} (informal: dismissal from employment)	 :: sparken
sack {v}	 :: sparke, kicke [slang]
sack {v} (to plunder)	 :: plyndre
sacrament {n} (sacred act or ceremony)	 :: sakrament {n}
sacred {adj} (made holy)	 :: hellig
sacred baboon {n} (Papio hamadryas) SEE: hamadryas	 ::
sacredize {v} (to make sacred) SEE: sacralize	 ::
sacrifice {n} (something sacrificed)	 :: offer {n}
sacrifice {v} (to give away something valuable in order to gain something else of value)	 :: ofre
sacrifice {v} (to offer as a gift to a deity)	 :: ofre
sacrosanct {adj}	 :: sakrosankt, fredlyst, hellig og ukrenkelig
sad {adj} (dialect: soggy) SEE: soggy	 ::
sad {adj} (feeling sorrow)	 :: trist, lei seg
sad {adj}	 :: trist , rørende
Saïda {prop} (port city in Lebanon) SEE: Sidon	 ::
saddle {n} (seat on a bicycle etc)	 :: [Bokmål] sete {n}, sykkelsete {n}; [Nynorsk] sete {n}, sykkelsete {n}
